6153194,HAMILTON       ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6153194,HAMILTON       ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1866,    -7.9,a,    -7.3,a,    -4.4,a,     6.2,a,     8.3,a,    15.0,a,    19.8,a,    15.3,a,    12.4,a,     8.9,a,     2.5,a,    -5.5,a,     5.3,a, -9999.9,M,     3.4,a,    16.7,a,     7.9,a
1867,    -9.9,a,    -3.1,a,    -4.8,a,     3.9,a,     7.0,a,    16.6,a,    18.8,a,    19.6,a,    14.4,a,     8.3,a,     2.1,a,    -7.3,a,     5.5,a,    -6.2,a,     2.0,a,    18.3,a,     8.3,a
1868,   -10.4,a,   -12.0,a,    -1.5,a,     1.7,a,     8.5,a,    15.1,a,    23.4,a,    19.0,a,    12.6,a,     4.5,a,     1.1,a,    -7.3,a,     4.6,a,    -9.9,a,     2.9,a,    19.2,a,     6.1,a
1869,    -3.6,a,    -6.5,a,    -7.6,a, -9999.9,M,     9.3,a,    13.8,a,    17.7,a,    16.8,a,    15.2,a,     4.9,a,    -1.1,a,    -3.2,a, -9999.9,M,    -5.8,a, -9999.9,M,    16.1,a,     6.3,a
1870,    -7.1,a,    -8.1,a,    -5.7,a,     6.1,a,    12.0,a,    18.9,a,    20.0,a,    19.3,a,    15.5,a,     9.5,a,     1.8,a,    -4.6,a,     6.5,a,    -6.1,a,     4.1,a,    19.4,a,     8.9,a
1871,    -7.6,a,    -6.0,a,      .4,a,     6.1,a,    10.8,a,    15.7,a,    18.6,a,    19.3,a,    11.1,a,     8.3,a,    -2.4,a,    -8.9,a,     5.5,a,    -6.1,a,     5.8,a,    17.9,a,     5.7,a
1872,    -6.7,a,    -7.0,a,    -6.2,a,     4.5,a,    10.9,a,    17.6,a,    20.8,a,    20.5,a,    15.6,a,     7.5,a,      .4,a,    -8.4,a,     5.8,a,    -7.5,a,     3.1,a,    19.6,a,     7.8,a
1873,    -8.7,a,    -7.7,a,    -2.9,a,     3.3,a,    10.4,a,    16.5,a,    19.5,a,    19.0,a,    13.0,a,     7.1,a,    -2.7,a,    -1.8,a,     5.4,a,    -8.3,a,     3.6,a,    18.3,a,     5.8,a
1874,    -3.9,a,    -5.3,a,    -2.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.7,a, -9999.9,M, -9999.9,M, -9999.9,M
1875, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1876,    -3.1,a,    -5.3,a,    -4.4,a,     3.4,a,     8.9,a,    17.1,a,    19.2,a,    20.3,a,    13.3,a,     5.6,a,     2.4,a,    -8.2,a,     5.8,a, -9999.9,M,     2.6,a,    18.9,a,     7.1,a
1877,    -9.0,a,    -2.5,a,    -4.2,a,     4.8,a,    12.5,a,    17.3,a,    21.0,a,    20.6,a,    15.9,a,     9.9,a,     2.6,a,     1.1,a,     7.5,a,    -6.6,a,     4.4,a,    19.6,a,     9.5,a
1878,    -5.0,a,    -3.5,a,     2.8,a,     8.7,a,    11.7,a,    16.9,a,    21.6,a,    19.9,a,    15.6,a,     9.2,a,     2.7,a,    -5.7,a,     7.9,a,    -2.5,a,     7.7,a,    19.5,a,     9.2,a
1879,    -7.5,a,    -8.5,a, -9999.9,M,     3.8,a,    13.3,a,    17.2,a,    20.1,a,    18.3,a,    12.9,a,    12.2,a,      .5,a,    -4.4,a, -9999.9,M,    -7.2,a, -9999.9,M,    18.5,a,     8.5,a
1880,     -.9,a,    -3.6,a,    -2.2,a,     5.6,a,    16.2,a,    19.0,a,    20.8,a,    19.4,a,    15.8,a,     7.3,a,    -2.7,a,    -7.7,a,     7.3,a,    -3.0,a,     6.5,a,    19.7,a,     6.8,a
1881,   -11.2,a,    -9.3,a,    -2.4,a,     3.2,a,    14.3,a,    14.3,a,    20.6,a,    20.0,a,    19.9,a,    10.0,a,     2.3,a,      .1,a,     6.8,a,    -9.4,a,     5.0,a,    18.3,a,    10.7,a
1882,    -6.4,a,    -1.5,a,     -.6,a,     3.9,a,     7.8,a,    15.5,a,    17.8,a,    18.5,a,    15.4,a,    10.5,a,     1.3,a,    -5.8,a,     6.4,a,    -2.6,a,     3.7,a,    17.3,a,     9.1,a
1883,   -10.3,a,    -7.9,a,    -6.9,a,     3.4,a,     9.4,a,    16.0,a,    19.3,a,    17.2,a,    11.7,a,     6.2,a,     3.0,a,    -3.6,a,     4.8,a,    -8.0,a,     2.0,a,    17.5,a,     7.0,a
1884,   -11.5,a,    -6.0,a,    -2.0,a,     4.0,a,    10.2,a,    17.3,a,    17.4,a,    18.9,a,    17.0,a,     9.4,a,     1.2,a,    -4.9,a,     5.9,a,    -7.0,a,     4.1,a,    17.9,a,     9.2,a
1885,    -9.1,a,   -13.3,a,    -9.4,a,     2.9,a,     9.4,a,    15.6,a,    19.1,a,    16.1,a,    12.5,a,     7.2,a,     2.4,a,    -4.0,a,     4.1,a,    -9.1,a,     1.0,a,    16.9,a,     7.4,a
1886,    -8.8,a,    -8.2,a,    -2.2,a,     5.8,a,    11.0,a,    15.8,a,    18.2,a,    17.9,a,    14.5,a,     8.9,a,      .9,a,    -8.0,a,     5.5,a,    -7.0,a,     4.9,a,    17.3,a,     8.1,a
1887,    -9.3,a,    -6.7,a, -9999.9,M, -9999.9,M,    11.9,a,    15.2,a,    20.6,a,    16.7,a,    11.5,a,     4.6,a,     -.9,a,    -5.9,a, -9999.9,M,    -8.0,a, -9999.9,M,    17.5,a,     5.1,a
1888, -9999.9,M, -9999.9,M,    -7.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1889, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1890, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1891, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1892, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1893, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1894, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1895, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1896, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1897, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.7,a,    10.2,a,     2.6,a,    -2.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.8,a
1898,    -4.7,a,    -5.4,a,     2.6,a,     6.1,a,    12.7,a,    18.4,a,    21.4,a,    20.7,a,    17.2,a,     9.6,a,     1.4,a,    -4.4,a,     8.0,a,    -4.2,a,     7.1,a,    20.2,a,     9.4,a
1899,    -7.0,a,    -8.5,a,    -3.3,a,     6.3,a,    13.0,a,    19.1,a,    20.8,a,    20.7,a,    13.4,a,    10.4,a,     4.0,a,    -3.7,a,     7.1,a,    -6.6,a,     5.3,a,    20.2,a,     9.3,a
1900,    -4.5,a,    -8.0,a,    -5.6,a,     6.7,a,    12.1,a,    18.3,a,    20.4,a, -9999.9,M,    17.5,a,    13.5,a,     3.1,a,    -2.7,a, -9999.9,M,    -5.4,a,     4.4,a, -9999.9,M,    11.4,a
